MEMBER_RATING;OPTIN_TIME;OPTIN_IP;CONFIRM_TIME;CONFIRM_IP;LATITUDE;LONGITUDE;GMTOFF;DSTOFF;TIMEZONE;CC;REGION;LAST_CHANGED;LEID;EUID;NOTES;TAGS
5;2017-06-26 15:07:40;;2019-03-24 19:33:35;;38.9987000;'-76.9287000;;;301/240;us;md;2019-03-24 19:33:35;75877859;1e30379bd0;;
3;2016-02-16 02:09:39;;2019-03-24 19:33:58;;;;;;;;;2019-03-24 19:33:58;75910079;968bf299dd;;
5;2017-03-06 18:29:24;;2019-03-24 19:33:32;;42.0097000;12.4794000;;;;it;rm;2019-03-24 19:33:32;75873799;25fefe9718;;
5;2012-06-29 08:56:29;;2019-03-24 19:33:26;;48.8967000;2.2514100;;;;fr;idf;2019-03-24 19:33:26;75864963;a8e7b98c3b;;
5;2014-08-11 17:53:43;;2019-03-24 19:33:57;;45.4179000;'-75.6489000;;;613;ca;on;2019-03-24 19:33:57;75908223;94c1515050;;
2;2015-09-23 22:48:28;;2019-03-24 19:33:44;;42.2992000;'-89.1304000;;;815/779;us;il;2019-03-24 19:33:44;75890999;ddfa1475a5;;
5;2012-11-22 14:22:11;;2019-03-24 19:33:34;;41.8076000;'-88.0192000;;;630/331;us;il;2019-03-24 19:33:34;75877379;212b9147e7;;
2;2019-05-05 18:52:17;;2019-05-05 18:52:17;213.205.194.104;50.7204000;'-3.5271700;0;1;;uk;dev;2019-05-05 18:52:17;87396387;f67f2ec8a6;;
2;2018-11-27 04:38:48;;2019-03-24 19:33:57;;;;;;;;;2019-03-24 19:33:57;75908059;8c472817d3;;
2;2012-06-29 08:55:03;;2019-03-24 19:33:40;;;;;;;;;2019-03-24 19:33:40;75885471;17595aab6f;;
2;2013-05-27 13:35:47;;2019-03-24 19:33:41;;;;;;;;;2019-03-24 19:33:41;75886371;7ac362dec4;;
2;2012-06-29 08:55:21;;2019-03-24 19:33:45;;;;;;;;;2019-03-24 19:33:45;75892619;8dd5f4fbeb;;
4;2015-10-12 09:00:07;;2019-03-24 19:33:46;;;;;;;;;2019-03-24 19:33:46;75893351;1ab9480983;;
5;2016-02-01 15:30:27;;2019-03-24 19:33:56;;33.4012000;'-111.7910000;;;480;us;az;2019-03-24 19:33:56;75907215;187055cead;;
5;2012-09-03 13:38:39;;2019-03-24 19:33:30;;51.2380000;'-0.2049820;;;;uk;sry;2019-03-24 19:33:30;75871607;1bf2860ea7;;
4;2012-06-29 08:56:35;;2019-03-24 19:33:26;;50.7383000;7.0990800;;;;de;nw;2019-03-24 19:33:26;75865779;3274dbcb86;;
5;2012-06-29 08:55:26;;2019-03-24 19:33:48;;44.0221000;'-121.2970000;;;458;us;or;2019-03-24 19:33:48;75896059;e3ff718c2a;;
5;2012-06-29 08:54:47;;2019-03-24 19:33:37;;37.4056000;'-122.0780000;;;650;us;ca;2019-03-24 19:33:37;75881171;e3564a0aff;;
5;2014-09-10 09:40:46;;2019-03-24 19:33:59;;40.7418000;'-73.9993000;;;212/646/917/929;us;ny;2019-03-24 19:33:59;75910827;7920dc3016;;
5;2012-11-20 00:04:49;;2019-03-24 19:33:34;;40.6192000;'-73.9656000;;;718/347;us;ny;2019-03-24 19:33:34;75877167;d474a7ea9a;;
4;2017-06-14 09:28:40;;2019-03-24 19:33:34;;;;;;;;;2019-03-24 19:33:34;75876899;a86ff1c5fb;;
2;2012-11-11 21:24:45;;2019-03-24 19:33:34;;;;;;;;;2019-03-24 19:33:34;75876199;91a3086f45;;
5;2012-06-29 08:55:26;;2019-03-24 19:33:49;;25.9404000;'-80.1397000;;;305/786;us;fl;2019-03-24 19:33:49;75897795;7621a3e81a;;
5;2012-06-29 08:56:29;;2019-03-24 19:33:25;;42.5952000;'-83.1201000;;;248/947;us;mi;2019-03-24 19:33:25;75864683;f967942ac7;;
2;2012-06-29 08:56:29;;2019-03-24 19:33:24;;;;;;;;;2019-03-24 19:33:24;75863191;fd3fd0ea65;;
2;2013-05-21 19:10:27;;2019-03-24 19:33:40;;;;;;;;;2019-03-24 19:33:40;75886015;71b15e424b;;
5;2012-06-29 08:55:59;;2019-03-24 19:33:57;;55.6862000;12.5891000;;;;dk;84;2019-03-24 19:33:57;75908459;d72f098c35;;
3;2016-02-01 15:30:27;;2019-03-24 19:33:55;;3.1507000;101.7130000;;;;my;14;2019-03-24 19:33:55;75905559;c35c8212b5;;
4;2012-06-29 08:54:08;;2019-03-24 19:33:25;;52.9981000;'-1.1336400;;;;uk;ngm;2019-03-24 19:33:25;75864235;bed2e1efa5;;
5;2012-06-29 08:56:03;;2019-03-24 19:34:01;;;;;;;;;2019-03-24 19:34:01;75912923;6b58b8b778;;
2;2015-10-21 22:47:21;;2019-03-24 19:33:48;;37.7826000;'-122.4360000;;;415/628;us;ca;2019-04-08 01:40:34;75896219;592379cec0;;
4;2019-07-01 18:31:33;;2019-07-01 18:31:33;192.189.201.100;40.7336000;'-74.0656000;'-6;'-5;201/551;us;nj;2019-07-01 18:31:33;89667451;34559d2b30;;
5;2017-10-18 04:06:29;;2019-03-24 19:33:39;;33.9991000;'-84.4675000;;;770/678/470;us;ga;2019-08-23 00:44:23;75883479;d8ae5759ed;;
2;2012-09-24 12:48:15;;2019-03-24 19:33:31;;;;;;;;;2019-03-24 19:33:31;75872987;72e7166c9e;;
5;2016-02-01 15:30:27;;2019-03-24 19:33:56;;42.2446000;'-71.1676000;;;781/339;us;ma;2019-03-24 19:33:56;75906635;836e7ef959;;
4;2015-02-09 23:25:43;;2019-03-24 19:33:29;;33.3932000;'-84.8235000;;;770/678/470;us;ga;2019-03-24 19:33:29;75870131;bdf729b8cf;;
2;2012-06-29 08:55:45;;2019-03-24 19:33:54;;37.2496000;126.9830000;;;;kr;41;2019-03-24 19:33:54;75904819;08afeefe08;;
2;2012-06-29 08:55:08;;2019-03-24 19:33:42;;51.3867000;'-0.4203830;;;;uk;sry;2019-03-24 19:33:42;75887771;067b472cfd;;
2;2015-02-25 07:24:12;;2019-03-24 19:33:31;;;;;;;;;2019-03-24 19:33:31;75872279;360c0a1bc7;;
4;2016-01-05 13:05:22;;2019-03-24 19:33:52;;51.4533000;'-0.0324970;;;;uk;lew;2019-03-24 19:33:52;75901627;74155df709;;
2;2012-06-29 08:54:41;;2019-03-24 19:33:35;;12.8970000;77.6072000;;;;in;ka;2019-03-24 19:33:35;75878379;c8820f14d4;;
5;2012-06-29 08:55:03;;2019-03-24 19:33:39;;37.4056000;'-122.0780000;;;650;us;ca;2019-04-22 11:37:31;75883763;47b2ddae64;;
2;2018-04-27 10:33:00;;2019-03-24 19:33:50;;51.3782000;'-0.2442790;;;;uk;stn;2019-03-24 19:33:50;75898595;401df8b62a;;
2;2012-06-29 08:54:47;;2019-03-24 19:33:36;;;;;;;;;2019-03-24 19:33:36;75879991;75cb61b6c1;;
2;2012-06-29 08:55:26;;2019-03-24 19:33:49;;44.6701000;'-63.6036000;;;902;ca;ns;2019-03-24 19:33:49;75898251;0524d00cee;;
5;2018-04-05 13:15:26;;2019-03-24 19:33:49;;43.4547000;5.5612000;;;;fr;pac;2019-03-24 19:33:49;75897591;d247af2150;;
5;2013-06-23 18:32:20;;2019-03-24 19:33:41;;35.7402000;'-95.3484000;;;539/918;us;ok;2019-03-24 19:33:41;75887095;6d9b1f71f5;;
5;2013-09-09 07:14:26;;2019-03-24 19:33:43;;48.2516000;11.6985000;;;;de;by;2019-05-05 19:04:07;75889095;ba2c04a78f;;
5;2015-08-31 19:56:22;;2019-03-24 19:33:42;;43.8298000;7.7682000;;;;it;im;2019-03-24 19:33:42;75888391;b8ca6cdbe3;;
5;2019-06-24 16:09:12;;2019-06-24 16:09:12;185.24.184.198;48.8277000;2.3615200;1;2;;fr;idf;2019-06-24 16:09:12;89314167;e083502bfa;;
3;2013-10-09 23:46:09;;2019-03-24 19:33:45;;45.7601000;4.7560200;;;;fr;ara;2019-03-24 19:33:45;75891587;89bfb6df89;;
5;2015-02-24 11:30:23;;2019-03-24 19:33:31;;'-33.9439000;18.4150000;;;;za;wc;2019-03-24 19:33:31;75872119;bd493bb4c1;;
5;2012-06-29 08:55:26;;2019-03-24 19:33:48;;;;;;;;;2019-03-24 19:33:48;75896227;180f1fdaca;;
5;2016-04-04 12:00:22;;2019-03-24 19:33:24;;58.9901000;5.8088300;;;;no;11;2019-03-24 19:33:24;75862751;d5c966bd0f;;
2;2016-04-07 05:18:29;;2019-03-24 19:33:24;;;;;;;;;2019-03-24 19:33:24;75863331;b91c3edcad;;
2;2012-06-29 08:55:59;;2019-03-24 19:33:57;;;;;;;;;2019-03-24 19:33:57;75908623;66fc87a83e;;
2;2012-06-29 08:55:59;;2019-03-24 19:33:58;;;;;;;;;2019-03-24 19:33:58;75910155;f0f3b18d65;;
5;2018-03-19 16:20:23;;2019-03-24 19:33:46;;47.6877000;'-122.1920000;;;425/564;us;wa;2019-03-24 19:33:46;75894115;26ffbfca6a;;
2;2015-10-24 23:44:34;;2019-03-24 19:33:48;;;;;;;;;2019-03-24 19:33:48;75896535;1f977a9351;;
4;2016-03-16 13:45:51;;2019-03-24 19:34:00;;;;;;;;;2019-03-24 19:34:00;75912115;4bdc84a292;;
2;2018-02-01 19:57:29;;2019-03-24 19:33:43;;42.8206000;'-88.7295000;;;262;us;wi;2019-03-24 19:33:43;75889391;b2b20bd9d7;;
5;2015-05-26 08:45:44;;2019-03-24 19:33:36;;;;;;;;;2019-03-24 19:33:36;75880131;67ea728dee;;
2;2014-08-20 15:08:07;;2019-03-24 19:33:58;;45.8826000;4.5167200;;;;fr;ara;2019-03-24 19:33:58;75909019;eb6c1ff423;;
5;2012-08-13 20:53:11;;2019-03-24 19:33:30;;42.2947000;'-71.1305000;;;617/857;us;ma;2019-03-24 19:33:30;75870895;73abac8c3e;;
5;2018-03-05 18:38:06;;2019-03-24 19:33:44;;26.5940000;'-80.1277000;;;561;us;fl;2019-03-24 19:33:44;75891283;5483eef4a6;;
4;2012-06-29 08:56:03;;2019-03-24 19:34:01;;;;;;;;;2019-03-24 19:34:01;75912747;e0b24abea0;;
3;2013-04-03 05:43:15;;2019-03-24 19:33:39;;;;;;;;;2019-03-24 19:33:39;75883895;a205122bf3;;
3;2012-12-10 03:36:03;;2019-03-24 19:33:35;;;;;;;;;2019-03-24 19:33:35;75878327;e3f9eae130;;
5;2014-10-21 08:55:21;;2019-03-24 19:33:23;;50.1836000;8.6644700;;;;de;he;2019-03-24 19:33:23;75862271;b2bd9dc4e3;;
2;2012-06-29 08:56:03;;2019-03-24 19:33:59;;;;;;;;;2019-03-24 19:33:59;75911623;99fdd5bde6;;
2;2016-02-01 15:30:27;;2019-03-24 19:33:55;;48.8943000;2.2075300;;;;fr;idf;2019-04-22 06:32:05;75905947;6faaf40e37;;
5;2015-10-24 02:16:31;;2019-03-24 19:33:48;;32.8638000;'-96.8740000;;;214/469/972;us;tx;2019-03-24 19:33:48;75896443;9a149ea4f9;;
2;2018-10-27 14:08:30;;2019-03-24 19:33:56;;;;;;;;;2019-03-24 19:33:56;75906623;4a2a4beec0;;
5;2016-09-13 22:08:16;;2019-03-24 19:33:29;;48.8157000;2.3167300;;;;fr;idf;2019-03-24 19:33:29;75869647;697dece429;;
4;2019-02-16 01:20:56;;2019-03-24 19:33:59;;48.8451000;2.3492400;;;;fr;idf;2019-03-24 19:33:59;75911111;cadb736d3a;;
5;2012-06-29 08:56:29;;2019-03-24 19:33:23;;52.0835000;5.1021100;;;;nl;ut;2019-03-24 19:33:23;75862267;3125d9dbe2;;
4;2012-12-06 23:08:30;;2019-03-24 19:33:35;;55.5173000;12.9937000;;;;se;m;2019-03-24 19:33:35;75878211;0a81666ead;;
3;2016-08-30 11:55:12;;2019-03-24 19:33:29;;;;;;;;;2019-03-24 19:33:29;75869367;f1b2e996a0;;
3;2014-02-25 21:39:29;;2019-03-24 19:33:51;;40.6585000;'-111.8820000;;;801/385;us;ut;2019-03-24 19:33:51;75900147;bed4179f03;;
2;2012-06-29 08:56:29;;2019-03-24 19:33:24;;;;;;;;;2019-03-24 19:33:24;75862639;db295ce34a;;
5;2015-10-26 13:01:36;;2019-03-24 19:33:48;;59.9564000;10.6753000;;;;no;3;2019-03-24 19:33:48;75896639;7328084817;;
2;2012-06-29 08:55:03;;2019-03-24 19:33:40;;;;;;;;;2019-03-24 19:33:40;75885279;1abf328747;;
2;2017-08-23 05:59:17;;2019-03-24 19:33:37;;18.6298000;73.7822000;;;;in;mh;2019-03-24 19:33:37;75881175;d0f0aa75e5;;
4;2014-08-12 14:06:55;;2019-03-24 19:33:57;;;;;;;;;2019-03-24 19:33:57;75908267;712b4dd967;;
2;2017-10-16 08:38:17;;2019-03-24 19:33:39;;;;;;;;;2019-03-24 19:33:39;75883315;624c7e72c3;;
5;2015-09-26 18:00:23;;2019-03-24 19:33:44;;45.4389000;'-122.7720000;;;503/971;us;or;2019-03-24 19:33:44;75891143;5a48886d4f;;
2;2017-08-02 08:21:24;;2019-03-24 19:33:36;;56.8488000;9.7005800;;;;dk;81;2019-03-24 19:33:36;75880087;7c27effa74;;
5;2016-08-09 21:55:04;;2019-03-24 19:33:28;;40.7324000;'-73.9895000;;;212/332/646/917;us;ny;2019-03-24 19:33:28;75868055;d638956283;;
2;2015-09-22 00:05:06;;2019-03-24 19:33:44;;;;;;;;;2019-03-24 19:33:44;75890663;2bec5bf62f;;
5;2017-08-09 07:08:41;;2019-03-24 19:33:37;;48.8664000;2.4000600;;;;fr;idf;2019-03-24 19:33:37;75880543;dcd069f636;;
2;2017-08-02 13:16:43;;2019-03-24 19:33:36;;;;;;;;;2019-03-24 19:33:36;75880111;dcac9b909a;;
5;2015-05-13 09:55:38;;2019-03-24 19:33:36;;51.7887000;'-1.1680800;;;;uk;oxf;2019-03-24 19:33:36;75879439;949fa0ce60;;
2;2012-06-29 08:55:39;;2019-03-24 19:33:52;;;;;;;;;2019-03-24 19:33:52;75902139;a9f7188893;;
5;2016-03-21 12:12:59;;2019-03-24 19:34:00;;'-33.8699000;151.2040000;;;;au;nsw;2019-03-24 19:34:00;75912251;f536f6703b;;
5;2012-06-29 08:54:21;;2019-03-24 19:33:31;;44.1366000;4.8050100;;;;fr;pac;2019-03-24 19:33:31;75872175;2442a0d57f;;
3;2015-07-17 08:44:20;;2019-03-24 19:33:40;;;;;;;;;2019-03-24 19:33:40;75884871;c884e9841b;;
4;2013-03-07 17:39:45;;2019-03-24 19:33:38;;38.9304000;'-77.0282000;;;202;us;dc;2019-03-24 19:33:38;75882659;58e0d99e16;;
3;2018-10-09 02:04:24;;2019-03-24 19:33:55;;45.3862000;'-75.6993000;;;613;ca;on;2019-03-24 19:33:55;75905687;e59ad011c3;;
2;2012-06-29 08:55:59;;2019-03-24 19:33:57;;1.2830000;103.8500000;;;;sg;1;2019-03-24 19:33:57;75908199;9c3dfdada7;;
5;2012-06-29 08:56:35;;2019-03-24 19:33:28;;48.8770000;2.3354000;;;;fr;idf;2019-03-24 19:33:28;75868235;1c18aaa952;;
3;2012-06-29 08:54:47;;2019-03-24 19:33:37;;48.8299000;2.3264700;;;;fr;idf;2019-03-24 19:33:37;75880863;869e9e567a;;
2;2012-11-28 10:43:44;;2019-03-24 19:33:35;;47.2225000;'-1.5458600;;;;fr;pdl;2019-03-24 19:33:35;75877803;1de75dd1e1;;
5;2014-07-09 19:07:45;;2019-03-24 19:33:55;;59.9592000;10.7024000;;;;no;3;2019-03-24 19:33:55;75905403;c41a21bd02;;
2;2014-10-07 10:11:12;;2019-03-24 19:34:00;;48.8608000;2.3423400;;;;fr;idf;2019-03-24 19:34:00;75912199;c398c4ed7e;;
3;2012-06-29 08:55:26;;2019-03-24 19:33:49;;26.5248000;'-80.1768000;;;561;us;fl;2019-03-24 19:33:49;75898043;b0836745f1;;
5;2013-01-31 06:06:56;;2019-03-24 19:33:37;;43.3644000;'-80.3152000;;;519;ca;on;2019-03-24 19:33:37;75880655;8da4b8a177;;
4;2013-10-08 19:21:31;;2019-03-24 19:33:45;;51.5203000;'-0.2004350;;;;uk;kec;2019-03-24 19:33:45;75891527;3fb6421d6c;;
5;2016-02-01 15:30:27;;2019-03-24 19:33:56;;51.4575000;'-0.9693010;;;;uk;rdg;2019-03-24 19:33:56;75906819;2219d7fa33;;
5;2012-06-29 08:55:03;;2019-03-24 19:33:41;;59.9273000;10.7343000;;;;no;3;2019-03-24 19:33:41;75886755;b8491b5349;;
5;2018-01-29 22:44:27;;2019-03-24 19:33:43;;13.7753000;100.5110000;;;;th;10;2019-03-24 19:33:43;75889015;2f17861092;;
2;2012-06-29 08:56:29;;2019-03-24 19:33:25;;43.5342000;5.4212100;;;;fr;pac;2019-03-24 19:33:25;75863651;e2cc3a7130;;
5;2013-02-18 15:38:19;;2019-03-24 19:33:37;;10.7694000;106.6820000;;;;vn;sg;2019-03-24 19:33:37;75881527;5177a71df8;;
5;2016-12-06 08:41:19;;2019-03-24 19:33:31;;41.0596000;'-74.1467000;;;201/551;us;nj;2019-03-24 19:33:31;75872131;b7bed0d0b9;;
5;2016-02-01 15:30:27;;2019-03-24 19:33:57;;;;;;;;;2019-03-24 19:33:57;75908775;6064af457c;;
2;2015-02-26 18:15:31;;2019-03-24 19:33:31;;;;;;;;;2019-03-24 19:33:31;75872631;e7f658b98b;;
4;2015-04-19 18:44:37;;2019-03-24 19:33:34;;41.3989000;2.1642300;;;;es;b;2019-03-24 19:33:34;75877387;8f88a67222;;
5;2012-06-29 08:56:29;;2019-03-24 19:33:25;;41.7433000;'-91.6005000;;;319;us;ia;2019-03-24 19:33:25;75864019;5cd225f07f;;
4;2012-06-29 08:55:21;;2019-03-24 19:33:45;;;;;;;;;2019-03-24 19:33:45;75892687;700accb8f0;;
2;2012-06-29 08:54:41;;2019-03-24 19:33:34;;;;;;;;;2019-03-24 19:33:34;75877043;97df7ab626;;
5;2016-02-25 07:14:30;;2019-03-24 19:33:59;;40.6945000;'-3.5118900;;;;es;m;2019-03-24 19:33:59;75910963;0b16a30c9e;;
5;2014-04-28 00:00:17;;2019-03-24 19:33:53;;40.7061000;'-74.0045000;;;212/332/646/917;us;ny;2019-03-24 19:33:53;75902459;d59a1edbc5;;
5;2012-06-29 08:55:39;;2019-03-24 19:33:53;;48.8136000;2.3883900;;;;fr;idf;2019-03-24 19:33:53;75903195;b6caeb8269;;
5;2015-12-06 18:59:01;;2019-03-24 19:33:51;;48.8664000;2.4000600;;;;fr;idf;2019-03-24 19:33:51;75899811;c4de3b5259;;
2;2015-11-09 04:04:33;;2019-03-24 19:33:49;;;;;;;;;2019-03-24 19:33:49;75897911;68f08881cd;;
5;2012-06-29 08:55:59;;2019-03-24 19:33:59;;46.5239000;6.6362200;;;;ch;vd;2019-04-28 20:02:08;75910639;3ccb3aeb95;;
3;2018-12-20 15:53:18;;2019-03-24 19:33:58;;;;;;;;;2019-03-24 19:33:58;75909115;36fef34e52;;
2;2014-12-03 05:15:37;;2019-03-24 19:33:26;;;;;;;;;2019-03-24 19:33:26;75865903;e4d2bd1fd0;;
2;2014-10-06 11:22:36;;2019-03-24 19:34:00;;;;;;;;;2019-03-24 19:34:00;75912091;e40fffb3f9;;
5;2013-02-06 07:30:01;;2019-03-24 19:33:37;;39.9030000;'-75.2696000;;;610/484;us;pa;2019-03-24 19:33:37;75880923;cf10da74df;;
2;2012-06-29 08:54:41;;2019-03-24 19:33:35;;;;;;;;;2019-03-24 19:33:35;75878167;12d44eb097;;
2;2016-01-04 14:01:42;;2019-03-24 19:33:52;;;;;;;;;2019-03-24 19:33:52;75901531;9d4ded64a8;;
2;2015-08-27 03:37:02;;2019-03-24 19:33:42;;;;;;;;;2019-03-24 19:33:42;75887951;bc5f70610b;;
3;2018-07-29 14:22:13;;2019-03-24 19:33:53;;38.9498000;'-77.0156000;;;202;us;dc;2019-03-24 19:33:53;75902547;c44e41c006;;
2;2012-06-29 08:55:03;;2019-03-24 19:33:39;;;;;;;;;2019-03-24 19:33:39;75884359;fa1aaca0a8;;
5;2016-02-01 15:30:27;;2019-03-24 19:33:55;;37.7482000;'-122.4160000;;;415/628;us;ca;2019-03-24 19:33:55;75905879;b94862f21f;;
5;2018-08-14 04:25:09;;2019-03-24 19:33:53;;37.4171000;'-122.1320000;;;650;us;ca;2019-03-24 19:33:53;75903255;fb981dff94;;
4;2018-03-19 07:06:18;;2019-03-24 19:33:45;;50.7682000;4.5443800;;;;be;vbr;2019-03-24 19:33:45;75892519;bac76fa177;;
5;2015-06-07 01:51:31;;2019-03-24 19:33:37;;'-36.8549000;174.7700000;;;;nz;auk;2019-03-24 19:33:37;75881019;dcdf36e8fe;;
5;2012-06-29 08:55:59;;2019-03-24 19:33:59;;52.4600000;9.7101300;;;;de;ni;2019-03-24 19:33:59;75910379;eb2385b217;;
5;2012-06-29 08:54:41;;2019-03-24 19:33:35;;48.8593000;2.3769500;;;;fr;idf;2019-03-24 19:33:35;75877951;54c916ab1a;;
2;2012-06-29 08:55:45;;2019-03-24 19:33:54;;48.8608000;2.3423400;;;;fr;idf;2019-03-24 19:33:54;75904323;0db2a51722;;
2;2014-05-06 01:03:07;;2019-03-24 19:33:53;;;;;;;;;2019-03-24 19:33:53;75902799;8d19a99960;;
5;2019-02-26 12:20:47;;2019-03-24 19:33:59;;48.8652000;2.4547300;;;;fr;idf;2019-03-24 19:33:59;75911447;957c078fdb;;
2;2017-08-13 04:09:50;;2019-03-24 19:33:37;;51.5130000;'-0.1292370;;;;uk;wsm;2019-03-24 19:33:37;75880823;b084d2c71f;;
4;2015-02-28 18:13:46;;2019-03-24 19:33:31;;40.7903000;'-73.9468000;;;212/332/646/917;us;ny;2019-03-24 19:33:31;75872663;1c20d18126;;
5;2015-08-24 13:08:48;;2019-03-24 19:33:42;;55.3592000;'-3.2111000;;;;uk;;2019-03-24 19:33:42;75887551;3894b55b52;;
2;2012-06-29 08:54:21;;2019-03-24 19:33:31;;;;;;;;;2019-03-24 19:33:31;75872267;c7177dcfc7;;
2;2012-06-29 08:54:20;;2019-03-24 19:33:29;;37.2425000;'-121.8350000;;;408/669;us;ca;2019-03-24 19:33:29;75870207;ae9e7009b8;;
4;2015-11-02 09:59:43;;2019-03-24 19:33:49;;37.4056000;'-122.0780000;;;650;us;ca;2019-03-24 19:33:49;75897303;b811f547d3;;
4;2015-09-19 02:06:30;;2019-03-24 19:33:44;;;;;;;;;2019-03-24 19:33:44;75890227;9805bf087a;;
5;2014-09-22 12:53:07;;2019-03-24 19:33:59;;45.8988000;15.9540000;;;;hr;21;2019-03-24 19:33:59;75911455;49f2ad3661;;
2;2012-06-29 08:55:45;;2019-03-24 19:33:55;;;;;;;;;2019-03-24 19:33:55;75905187;22f0a2743c;;
